,Mean_Group1,Mean_Group2,Std_Group1,Std_Group2,Cluster_KMeans
Anger_EmoLex,0.03362320747177935,0.02013633343653857,0.021236811778427737,0.007553903796893232,0
Anticipation_EmoLex,0.03693736556022429,0.029179400358137438,0.015116136645706164,0.0086497801784443,0
Disgust_EmoLex,0.00870897647564246,0.013464485679691905,0.011246382914437907,0.004511193067906463,0
Fear_EmoLex,0.0270796587894477,0.018491912145826243,0.016081739897324476,0.006950140411806377,0
Joy_EmoLex,0.03055690045587233,0.025416559437568473,0.013188627372794484,0.008724946289211855,0
Negative_EmoLex,0.0558445463420596,0.04476136566143804,0.05103740071501504,0.010499766354729089,0
Positive_EmoLex,0.08151205390357255,0.06445349893608682,0.023544163996078907,0.010891373992928428,0
Sadness_EmoLex,0.040203590967184774,0.026277635948663763,0.03598884296776511,0.006804415341458546,0
Surprise_EmoLex,0.00935256056937695,0.013618595988473002,0.008944972987256217,0.005298050338195445,0
Trust_EmoLex,0.04252437046983108,0.03768388264443655,0.023735380807757795,0.009965366367956845,0
Valence,6.384094433344434,6.098699341666819,0.5145175681287643,0.5192280755066171,2
Arousal,5.3329393939393945,5.358340737766673,0.2827635348626666,0.17989928972264838,4
Dominance,5.769629592629593,5.446113960320401,0.26386177336330385,0.19619497717256093,4
pleasantness,0.1317445346343922,0.0747908104933134,0.08058834034631876,0.047984660799190226,0
attention,0.25282520284729426,0.23039892109246451,0.092492584708887,0.052061016871508166,0
sensitivity,-0.06949723553821378,-0.08223999980254659,0.08497884496333726,0.021611784466272904,0
aptitude,0.20156605068192396,0.17794689530508848,0.06541802395071121,0.03966159461943274,0
polarity,0.15720907824933686,0.11811865190992413,0.05758373905269998,0.03595347703501222,0
vader_negative,0.0955,0.10643749999999999,0.08448569898706723,0.030598406821270935,0
vader_neutral,0.7845,0.7521249999999999,0.08483480679794375,0.03619737559547655,0
vader_positive,0.12,0.1414375,0.049868716535408135,0.033284568496527035,0
vader_compound,0.25785,0.573175,0.6725207807611268,0.7536399551509992,1
hu_liu_pos_perc,0.5159722222222222,0.4974219008947245,0.25426341510185707,0.1178262017928903,0
hu_liu_neg_perc,0.4840277777777778,0.5025780991052754,0.25426341510185707,0.11782620179289027,0
hu_liu_prop,1.9563492063492063,1.0943346412144788,2.57473944211048,0.49546500872279253,3
Positiv_GI,0.08604102901676178,0.09114210080307357,0.03230061065953069,0.019758486445013098,0
Negativ_GI,0.06724158219713408,0.07265705598145558,0.04662979173506427,0.015723719565404935,0
Pstv_GI,0.08319451491705077,0.08601069105207099,0.030505285556150695,0.01866281775769884,0
Affil_GI,0.05317319365020863,0.0701228834161916,0.025216324171570045,0.021945614394318556,0
Ngtv_GI,0.05702896955233776,0.066563154406278,0.03138512526532408,0.017409613658326085,0
Hostile_GI,0.033174199156344654,0.040530391767507355,0.02618142029819391,0.013492708799252882,0
Strong_GI,0.1390385268341797,0.1142239213769721,0.04937887750728913,0.02361455954982013,0
Power_GI,0.05048438705043902,0.05265659582025248,0.016618053066604025,0.016201074086474844,0
Weak_GI,0.03504314213818133,0.054364885285295456,0.013624976365165381,0.011545331108682893,0
Submit_GI,0.01509682768222829,0.017767380648597897,0.010160403105970064,0.007219113201906898,0
Active_GI,0.13772102891059307,0.13381990647475145,0.022887729447079674,0.020346114324191537,0
Passive_GI,0.0617089669886256,0.11188355640499487,0.036302185270422,0.022859323791933776,0
Pleasur_GI,0.00218894587973191,0.006028661628321206,0.0036235063199169274,0.004350894359550871,0
Pain_GI,0.0072135462592561,0.014192880522746226,0.0075726393519998355,0.005927128215783587,0
Feel_GI,0.0,0.000583007175472925,0.0,0.001593479490007312,0
Arousal_GI,0.029478423969739508,0.03747314168944556,0.02164984317317117,0.014776754220493812,0
Emot_GI,0.02366803336248504,0.04216833585066022,0.01943169502113707,0.014888839674828137,0
Virtue_GI,0.05013770831823455,0.048383578352354475,0.02446202114813131,0.013910355250358318,0
Vice_GI,0.01882195243623695,0.02306048580505603,0.021060704290732556,0.009437705385772738,0
Ovrst_GI,0.0862192599490259,0.06354981494194514,0.028313377242456514,0.022870037825914537,0
Undrst_GI,0.03595829147615198,0.051261952981322245,0.02677033612327894,0.016341509844242513,0
Academ_GI,0.01032760381211707,0.004081263082537775,0.020235993913616142,0.005341023172096081,0
Doctrin_GI,0.00859988925864569,0.005606924501857662,0.009535076340958062,0.005164573728048369,0
Econ_2_GI,0.029992987341915113,0.029198401509549488,0.023065337032302704,0.01513053657142313,0
Exch_GI,0.00478364904827211,0.0026140474326011437,0.006407114527267623,0.0027261820280905878,0
Econ_GI,0.053655586149714884,0.021053117699832032,0.039471271470026735,0.010715017049712975,0
Exprsv_GI,0.0068419238292022,0.007806448462815051,0.00996131179774324,0.0038237157875034627,0
Legal_GI,0.01464243988574257,0.006149108890662063,0.020251859142216087,0.00444081183687189,0
Milit_GI,0.0019616604852763704,0.0018701202818423124,0.004315232335369816,0.0026357676577319633,0
Polit_2_GI,0.02083811874437791,0.007450104350739093,0.02102035263825373,0.004595374077482924,0
Polit_GI,0.03322069054715119,0.011524396741545605,0.0231343975994972,0.006279278698233763,0
Relig_GI,0.0,0.0006175294004241313,0.0,0.0016995057688378402,0
Role_GI,0.05567126253520401,0.03906230212417376,0.03775045198317527,0.016817168503771733,0
Coll_GI,0.02381790334174928,0.015604257022419743,0.023085427160342405,0.005725983541587653,0
Work_GI,0.06205914946349868,0.03615613335265988,0.02942990608556553,0.014045108449536771,0
Ritual_GI,0.0043080703843648895,0.0074668005771887005,0.006344747855111881,0.0053949943406030225,0
